actual,predicted,correct
JIhSswNJt,JhSSwNJtt,False
obrRkaVH,obhRkkVH,False
zdseZOno,zzeeZDOo,False
LkplPb,LkqiPb,False
JaSGbQ,ubSCqQ,False
pCcAL,pCaAL,False
KBFmhAyg,KBFmhhxg,False
ZBqDsyoio,ZDpDyypio,False
RipLHXJa,RjjJHKJa,False
sypkxbM,ayuuaaM,False
QRpIlWa,QRpIWWa,False
unsEZRb,umqZZBb,False
MVRRTkdcT,MWRRTkccT,False
ElrEQibk,FrYGGcmr,False
lTTMXrZzv,ITTTkZZzv,False
NkRlxlu,NkRiiuu,False
TUrpoE,DUupoS,False
WKkkzz,WKkzzz,False
FgpQaqh,FgpQqqh,False
kBXLEa,kBXLEa,True
qIkXiXQfS,zMWXDBBBi,False
MfdWT,MddKF,False
MFgmpH,MFgmmH,False
ASKxSDSB,ASSxSSSB,False
FBKnpInE,FBKnpnEE,False
joZfdUbcm,jpZZUdbom,False
nbrsFhuG,nbssFhrG,False
KWhqc,WHbbo,False
sSMnoNHy,sSMModNN,False
umVnDlFL,umWmIDIL,False
xKnTjghmQ,xKTTjghmQ,False
ZrCySTXdS,ZyyyFZXdS,False
hIjUujt,hjjudjt,False
eAITS,eAJTS,False
pMwmt,pMwmt,True
fGucvg,jCuuug,False
OcHSA,OcHSA,True
kEqrd,kEqpo,False
XnKvGJptd,XhKxGOjbd,False
iBWkB,iBWkB,True
hIecd,hieod,False
ZVcElNR,ZVcENRR,False
HrhgUGEoc,HnggUGEoo,False
MAfRRlxUG,MAXRRkxUG,False
HVAdR,tYAaP,False
hCfdoU,hCttbU,False
hWvqS,hWvqS,True
zcdComS,zcCOmnS,False
YRsqb,YRsgb,False
tYGaPsOf,YPPcPPPf,False
BRlWZF,BRWWZF,False
NzBgs,NeBgs,False
naxJJEum,naxLLEum,False
bhCxkiHx,cvOOMMlw,False
clNrOgb,oWMoggg,False
KPWDGgsGc,XWUUDyySc,False
PRzxI,PPzxI,False
HGjnQt,lQjlOO,False
RQkKbKcP,RDAAhhrP,False
BQkVnmyjP,BQMwnoqyP,False
hgYsk,hqjss,False
PVbEOFPPW,PWbEOPPPW,False
YGScUzL,YGSoLLL,False
OVlNaHNj,OVVVdHHj,False
lCTSqzUgS,DPDIccqgS,False
FqFdVal,FqFdVol,False
WeTyvbVS,WeTVyvVS,False
tsatGx,teexPx,False
wAAlWjIAW,xAKKjjKKW,False
xNixjQ,xVxxjQ,False
EDLOmhSzA,EDDOmmSzs,False
DmUMarrT,DmUUcnrT,False
INgayB,VNgyyB,False
nMhJOVNl,nKhJJFRI,False
jgUYZNiws,jgUUZWNws,False
AmDMu,AnDMU,False
MFIkekD,MFVkekD,False
gQxysxL,qOyyksz,False
MBtKAFAX,MBAAAFAA,False
oNaGRU,oNaGRC,False
PGXqInNr,PCXXqIln,False
OzCKj,OrCKj,False
IDtcCVz,IDOcOVz,False
czqnA,crqnA,False
pUOIfr,pUOlfr,False
DFeak,DTeak,False
SvtAhX,SvvAhK,False
EoLRz,ZcJRa,False
cxDBMntp,cxDBMmIp,False
vdPsNnms,vtBBtqqp,False
AjapJoy,MJooIgy,False
xPeCwHTO,xPeCwWTO,False
xvHZmMyzr,wvRRcpjct,False
YqTjfzP,YoTjzPP,False
JHKXmkT,JHHXmkT,False
qWqvirZ,qWqrrzZ,False
iXhOq,XXhOc,False
VEhlILlz,VEhhLLzz,False
EYHLz,EYHLz,True
HROfFl,HRCfFl,False
FCmmc,FCmmo,False
IfEmQFT,fEmQTFF,False
WHQtgA,WiOOgA,False
sImVUSq,sVmVUSq,False
KZxCJ,KZwCJ,False
wjiWiQth,xjVOOOHH,False
OPNkC,OPMkC,False
FZPHfPbWw,FEFFPBBVw,False
DDfsoZVwT,DDTsoDVwT,False
aPoHD,sPhHO,False
FxidCoQ,FxbCoQQ,False
OVlepejv,OVreqjvv,False
XJCFioFnk,XJGFoonkk,False
cWpYXE,cWpXXE,False
OMNsLtcHT,ONNsLLhhT,False
nryaDanV,nyyaDanV,False
qAYkTSMTm,qAkkTETTm,False
Vkelc,Viaea,False
GshEfl,GsrEEf,False
PInWZw,PinWZw,False
