answer,prediction,correct
AbAkvb,gvPlCiNcC,tensor(False)
ZKTXXGYB,ZKTXXGYB,tensor(True)
JEOVLZJRS,JEOVLZJRS,tensor(True)
ZKTXXGYB,ZKTXXGYB,tensor(True)
UNDBBGL,UNDBBGL,tensor(True)
ZKTXXGYB,ZKTXXGYB,tensor(True)
tbtXDCCeO,tbtXDCCeO,tensor(True)
SWYIVJ,SWYIVJ,tensor(True)
tbtXDCCeO,TPpczBqq,tensor(False)
tbtXDCCeO,TbtqXZzJ,tensor(False)
BDBHAHJ,BDBHAHJ,tensor(True)
jbdjbASR,UQOyGTb,tensor(False)
gaYed,LgVyaVOf,tensor(False)
DwFHpaoh,DwFHpaoh,tensor(True)
KewPrG,KewPrG,tensor(True)
AVSQRUTR,AVSQRUTR,tensor(True)
KewPrG,zrihZP,tensor(False)
LPULEJ,LPULEJ,tensor(True)
NGUQWWI,NGUQWWI,tensor(True)
NFHABWL,NFHABWL,tensor(True)
VBXDXMCR,VBXDXMCR,tensor(True)
wSNkVCi,uqvJVviwA,tensor(False)
Cpkry,Cpkry,tensor(True)
TPpczBqq,TPpczBqq,tensor(True)
JBRFUSL,JBRFUSL,tensor(True)
DQKbAw,RkGtkxwy,tensor(False)
ECIuixhc,ECIuixhc,tensor(True)
tbtXDCCeO,tbtXDCCeO,tensor(True)
WJMOIQSDG,AFOIOPHDU,tensor(False)
UGOBM,UGOBM,tensor(True)
PGJKM,SWYIVJ,tensor(False)
FCOKIXAE,FCOKIXAE,tensor(True)
BOSMSC,BOSMSC,tensor(True)
AbAkvb,UQOyGTb,tensor(False)
IRRGP,IRRGP,tensor(True)
uaTBKDT,uaTBKDT,tensor(True)
WFEXRQQGU,WFEXRQQGU,tensor(True)
PGJKM,PGJKM,tensor(True)
GSHKKXL,GSHKKXL,tensor(True)
tbtXDCCeO,tbtXDCCeO,tensor(True)
DVQXZ,DVQXZ,tensor(True)
LgVyaVOf,LgVyaVOf,tensor(True)
GhpknP,GhpknP,tensor(True)
KZFSVVJYV,KZFSVVJYV,tensor(True)
WFEXRQQGU,WFEXRQQGU,tensor(True)
jTpey,jTpey,tensor(True)
DsIQCjqAm,DsIQCjqAm,tensor(True)
IRRGP,IRRGP,tensor(True)
KewPrG,GhpknP,tensor(False)
KMOFBSGQY,KMOFBSGQY,tensor(True)
VBXDXMCR,VBXDXMCR,tensor(True)
KZFSVVJYV,KZFSVVJYV,tensor(True)
jPVHHsOgJ,jPVHHsOgJ,tensor(True)
uqvJVviwA,kKpNaxsYu,tensor(False)
eFfoyv,eFfoyv,tensor(True)
daxVt,Cpkry,tensor(False)
BEIQQG,BEIQQG,tensor(True)
ETSBO,ETSBO,tensor(True)
UQGPQV,UQGPQV,tensor(True)
xVurxF,xVurxF,tensor(True)
jbdjbASR,UQOyGTb,tensor(False)
AZHSUT,JHJEZJU,tensor(False)
lIiXM,Tuhwwj,tensor(False)
XHNMOVNXJ,XHNMOVNXJ,tensor(True)
PJcCdxgW,PJcCdxgW,tensor(True)
geLJzcIl,zUeTolpLV,tensor(False)
BOSMSC,BOSMSC,tensor(True)
LgVyaVOf,LgVyaVOf,tensor(True)
NFHABWL,NFHABWL,tensor(True)
WJMOIQSDG,WJMOIQSDG,tensor(True)
GZNKFXUJO,GZNKFXUJO,tensor(True)
IIGRS,IIGRS,tensor(True)
JHJEZJU,JHJEZJU,tensor(True)
